,Batch,Fenotype,Fish,hist,bins
36,batch 44,KO179,ZebraF_1,1.240918109140243,0.6666666666666666
36,batch 44,KO179,ZebraF_1,1.0116131079050588,0.75
36,batch 44,KO179,ZebraF_1,0.6839642276099982,0.8333333333333333
36,batch 44,KO179,ZebraF_1,1.0116120362634393,0.9166666666666666
37,batch 44,KO179,ZebraF_10,0.7759712831166329,0.0
37,batch 44,KO179,ZebraF_10,0.9753365099396536,0.08333333333333333
37,batch 44,KO179,ZebraF_10,0.5067887480165413,0.16666666666666666
37,batch 44,KO179,ZebraF_10,0.09279068265145081,0.25
37,batch 44,KO179,ZebraF_10,0.0010558029868005575,0.3333333333333333
37,batch 44,KO179,ZebraF_10,0.041642909986747724,0.41666666666666663
37,batch 44,KO179,ZebraF_10,0.22411546151490533,0.5
37,batch 44,KO179,ZebraF_10,0.7099308000961564,0.5833333333333333
37,batch 44,KO179,ZebraF_10,0.6047215195048469,0.6666666666666666
37,batch 44,KO179,ZebraF_10,2.5796566409754935,0.75
37,batch 44,KO179,ZebraF_10,2.3449318952186777,0.8333333333333333
37,batch 44,KO179,ZebraF_10,3.1430577459920928,0.9166666666666666
38,batch 44,KO179,ZebraF_11,3.863006263132673,0.0
38,batch 44,KO179,ZebraF_11,1.3993889932812464,0.08333333333333333
38,batch 44,KO179,ZebraF_11,1.0380838621740678,0.16666666666666666
38,batch 44,KO179,ZebraF_11,1.0897963279337068,0.25
38,batch 44,KO179,ZebraF_11,2.1443692060146557,0.3333333333333333
38,batch 44,KO179,ZebraF_11,1.7140857389488842,0.41666666666666663
38,batch 44,KO179,ZebraF_11,0.7512696085147675,0.5
38,batch 44,KO179,ZebraF_11,0.0,0.5833333333333333
38,batch 44,KO179,ZebraF_11,0.0,0.6666666666666666
38,batch 44,KO179,ZebraF_11,0.0,0.75
38,batch 44,KO179,ZebraF_11,0.0,0.8333333333333333
38,batch 44,KO179,ZebraF_11,0.0,0.9166666666666666
39,batch 44,KO179,ZebraF_12,3.41920921286627,0.0
39,batch 44,KO179,ZebraF_12,1.5635099162774175,0.08333333333333333
39,batch 44,KO179,ZebraF_12,1.0621687833253153,0.16666666666666666
39,batch 44,KO179,ZebraF_12,0.6727909757866182,0.25
39,batch 44,KO179,ZebraF_12,0.6860929841635481,0.3333333333333333
39,batch 44,KO179,ZebraF_12,0.7417716112849002,0.41666666666666663
39,batch 44,KO179,ZebraF_12,0.45947506364358015,0.5
